ad_id,json_key,image_path,competitor,all_categories,all_categories_full,all_sentiments,all_sentiments_full,objects_symbols
170963,10/170963.png,./10/170963.png,media,media|other_service,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)|Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",alert|active|alarmed|persuaded|creative|amused|educated,"Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Alarmed(concerned,worried,anxious,overwhelmed)|Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Amused(humored,laughing)|Educated(informed,enlightened,smart,savvy,intelligent)",attention|stop 
170470,10/170470.png,./10/170470.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|cheerful|amused|eager,"Creative(inventive,productive)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Amused(humored,laughing)|Eager(hungry,thirsty,passionate)",real milk|nature fun|popular|fun|mixing
170241,10/170241.png,./10/170241.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|fashionable,"Manly|Fashionable(trendy,elegant,beautiful,attractive,sexy)",hard working heroic|Strong |Desirability/Masculinity|Protection
171452,10/171452.png,./10/171452.png,chips,chips|chocolate,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups|Chocolate, cookies, candy, ice cream",creative|youthful|eager,"Creative(inventive,productive)|Youthful(childlike)|Eager(hungry,thirsty,passionate)",colorful candy|rainbow of flavors|candy/rainbow|Sweet
171043,10/171043.png,./10/171043.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",loving|fashionable|feminine,"Loving(loved,romantic)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",irresistible sexuality|desire|Passion Sex|sex
170880,10/170880.png,./10/170880.png,shopping,shopping,"Shopping (department stores, drug stores, groceries, etc.)",alert|creative|thrifty|conscious|educated,"Alert(attentive,curious)|Creative(inventive,productive)|Thrifty(frugal)|Conscious(aware,thoughtful,prepared)|Educated(informed,enlightened,smart,savvy,intelligent)",ELECTRONICS
173676,10/173676.png,./10/173676.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",manly|creative|conscious,"Manly|Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)",Travel
170033,10/170033.png,./10/170033.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|feminine,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",models fashion|stand out|purse|fashion
171668,10/171668.png,./10/171668.png,restaurant,restaurant,"Restaurants, cafe, fast food",eager|cheerful|active,"Eager(hungry,thirsty,passionate)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",pizza is directed to those who are looking for weight loss|diet|low caloring|HEALTHY EATING
170547,10/170547.png,./10/170547.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",alert|eager|active|persuaded|confident|inspired,"Alert(attentive,curious)|Eager(hungry,thirsty,passionate)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Persuaded(impressed,enchanted,immersed)|Confident(assured,strong,healthy)|Inspired(motivated,ambitious,empowered,hopeful,determined)",CAR FOR ALL VACATIONS|adventures
175955,10/175955.png,./10/175955.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|fashionable|eager,"Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Eager(hungry,thirsty,passionate)",Home|Cuteness/Craving|light/fluffy|food/relaxing|Home/Stationary
175963,10/175963.png,./10/175963.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|alert|amazed|creative|confident|empathetic,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Alert(attentive,curious)|Amazed(surprised,astonished,awed,fascinated,intrigued)|Creative(inventive,productive)|Confident(assured,strong,healthy)|Empathetic(sympathetic,supportive,understanding,receptive)",Risk/Daring|Danger/Adventure|danger/risk|fashion/heights|Effortless/Free/In control
171969,10/171969.png,./10/171969.png,cars,cars|topic_girl scouts|charities,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)|topic_girl scouts|Charities",proud|active|creative|confident|youthful|inspired|emotional,"Proud(patriotic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Creative(inventive,productive)|Confident(assured,strong,healthy)|Youthful(childlike)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Emotional(vulnerable,moved,nostalgic,reminiscent)",girl empowerment |Strong|Strength|strength|strong
172969,10/172969.png,./10/172969.png,environment,environment,"Environment, nature, pollution, wildlife",creative|conscious|alert|amazed,"Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)|Alert(attentive,curious)|Amazed(surprised,astonished,awed,fascinated,intrigued)",environment/ go green|Light/Energy|electricity/power|environmental
173353,10/173353.png,./10/173353.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|active|amused|eager,"Creative(inventive,productive)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Amused(humored,laughing)|Eager(hungry,thirsty,passionate)",Food consumption|Natural Ingredients|natural/real|natural
172746,10/172746.png,./10/172746.png,soda,soda,"Soda, juice, milk, energy drinks, water",active|alert|eager,"Active(energetic,adventurous,vibrant,enthusiastic,playful)|Alert(attentive,curious)|Eager(hungry,thirsty,passionate)",Refeshing|liquid / refreshing|Fresh
173120,10/173120.png,./10/173120.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|creative|fashionable|feminine,"Manly|Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)","Everyone/Old and Young|all generations, Family|Vacation/Family|Friendship/Classiness/Beauty"
173188,10/173188.png,./10/173188.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|feminine|persuaded|inspired|empathetic,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)|Persuaded(impressed,enchanted,immersed)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Empathetic(sympathetic,supportive,understanding,receptive)",Seductive/Lust|Feminine|dreamy/luxurious|Beauty/Dreaminess
174815,10/174815.png,./10/174815.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|angry|empathetic|alert,"Creative(inventive,productive)|Angry(annoyed,irritated)|Empathetic(sympathetic,supportive,understanding,receptive)|Alert(attentive,curious)",super heroes|Superpowers|Superheroes|Fantasy/Powerful|super heros
172907,10/172907.png,./10/172907.png,electronics,electronics|shopping,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)|Shopping (department stores, drug stores, groceries, etc.)",cheerful|fashionable|thrifty|feminine,"Cheerful(delighted,happy,joyful,carefree,optimistic)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Thrifty(frugal)|Feminine(womanly,girlish)",Freedom/Childhood|Fun/Amazing|Fun/Party
173645,10/173645.png,./10/173645.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|thrifty|eager,"Creative(inventive,productive)|Thrifty(frugal)|Eager(hungry,thirsty,passionate)",Delicious/Dessert|Casual/Friendly
172142,10/172142.png,./10/172142.png,alcohol,alcohol|healthcare,"Alcohol|Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",creative|grateful|alert,"Creative(inventive,productive)|Grateful(thankful)|Alert(attentive,curious)",Health|Heart|Health/Wellbeing|health/doctor|vodka bottle
175404,10/175404.png,./10/175404.png,environment,environment|animal_right,"Environment, nature, pollution, wildlife|Animal rights, animal abuse",active|eager|conscious|educated|empathetic|emotional,"Active(energetic,adventurous,vibrant,enthusiastic,playful)|Eager(hungry,thirsty,passionate)|Conscious(aware,thoughtful,prepared)|Educated(informed,enlightened,smart,savvy,intelligent)|Empathetic(sympathetic,supportive,understanding,receptive)|Emotional(vulnerable,moved,nostalgic,reminiscent)",Earth/Destruction|earth/envirnoment|Environment/Loss|environment/heat|global warming
173376,10/173376.png,./10/173376.png,restaurant,restaurant,"Restaurants, cafe, fast food",persuaded|creative|active,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Morning/ Light|quality|Skyline|Holiday/Hanukkah|arch
173762,10/173762.png,./10/173762.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",feminine|fashionable|inspired|active,"Feminine(womanly,girlish)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Active(energetic,adventurous,vibrant,enthusiastic,playful)","Desire/Wanting|sex, sexy|Youth/Beauty"
171186,10/171186.png,./10/171186.png,travel,travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",persuaded|creative|alert,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Alert(attentive,curious)",freedom|Delta airlines|freedom
171930,10/171930.png,./10/171930.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|feminine,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",Trendy|Confidence|retro glam|innocence
172086,10/172086.png,./10/172086.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",eager|cheerful|active,"Eager(hungry,thirsty,passionate)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",mouth|bliss|Silence/Bondage|mouth
171253,10/171253.png,./10/171253.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",eager|creative|confident|youthful|conscious,"Eager(hungry,thirsty,passionate)|Creative(inventive,productive)|Confident(assured,strong,healthy)|Youthful(childlike)|Conscious(aware,thoughtful,prepared)",fresh natural|FARM
171574,10/171574.png,./10/171574.png,alcohol,alcohol,Alcohol,amused|creative|fashionable|eager,"Amused(humored,laughing)|Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Eager(hungry,thirsty,passionate)",Entertainment|keg|party|quality|entertainment
173627,10/173627.png,./10/173627.png,cars,cars|safety,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)|Safety, safe driving, fire safety",creative|educated|inspired,"Creative(inventive,productive)|Educated(informed,enlightened,smart,savvy,intelligent)|Inspired(motivated,ambitious,empowered,hopeful,determined)","Innovation|Christian/Religion|death|God, Religion|death / danger"
175322,10/175322.png,./10/175322.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",amused|amazed|eager,"Amused(humored,laughing)|Amazed(surprised,astonished,awed,fascinated,intrigued)|Eager(hungry,thirsty,passionate)",yoyo/dipping|Yoyo|yoyo|yo-yo/dunking/fun|Playfulness/Dunking
174539,10/174539.png,./10/174539.png,human_right,human_right,Human rights,alarmed|educated|amused|afraid,"Alarmed(concerned,worried,anxious,overwhelmed)|Educated(informed,enlightened,smart,savvy,intelligent)|Amused(humored,laughing)|Afraid(horrified,scared,fearful)",Death/Execution|Death/Punishment|Death/capital punishment|suicide|death/harm
173201,10/173201.png,./10/173201.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",persuaded|creative|amazed,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Amazed(surprised,astonished,awed,fascinated,intrigued)",miniatures|smaller
170836,10/170836.png,./10/170836.png,financial,financial,"Financial services (banks, credit cards, investment firms, etc.)",creative|educated|conscious,"Creative(inventive,productive)|Educated(informed,enlightened,smart,savvy,intelligent)|Conscious(aware,thoughtful,prepared)",RELAX/EASY|Split cost|rest|Citibank|Home
172755,10/172755.png,./10/172755.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",Delicious/Eaten|eaten|Delicious/Godd to the bone|hunger|delicious
172766,10/172766.png,./10/172766.png,coffee,coffee,"Coffee, tea",creative|alert,"Creative(inventive,productive)|Alert(attentive,curious)",Self Esteem Booster|coffee
174627,10/174627.png,./10/174627.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|angry|confident,"Creative(inventive,productive)|Angry(annoyed,irritated)|Confident(assured,strong,healthy)",Restriction|Challenge/Hunger|Fighting/angry|Sex/Frustration|sport/fitness/seduction
173287,10/173287.png,./10/173287.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",creative|fashionable|thrifty|feminine,"Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Thrifty(frugal)|Feminine(womanly,girlish)",Social media
172164,10/172164.png,./10/172164.png,sports,sports|game,Sports equipment and activities|Games and toys (including video and mobile games),creative|conscious|active,"Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Fun/Toy|heart / life|game/toy|excitement|cardio/health
175691,10/175691.png,./10/175691.png,soda,soda,"Soda, juice, milk, energy drinks, water",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",Fertilization/Desirability|Longing|worship/praise|Thirst|worship
177085,10/177085.png,./10/177085.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|alert|active,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",freedom|Relaxation|outdoors/nature|Modern Life|lifestyle
174756,10/174756.png,./10/174756.png,restaurant,restaurant,"Restaurants, cafe, fast food",educated|emotional|afraid,"Educated(informed,enlightened,smart,savvy,intelligent)|Emotional(vulnerable,moved,nostalgic,reminiscent)|Afraid(horrified,scared,fearful)",Weight loss|weight loss|Nutrition|Slim/Progress|smugness
173730,10/173730.png,./10/173730.png,smoking_alcohol_abuse,smoking_alcohol_abuse,"Smoking, alcohol abuse",creative|educated|alert,"Creative(inventive,productive)|Educated(informed,enlightened,smart,savvy,intelligent)|Alert(attentive,curious)",Smoking/Cigarette|Darkness/Death
170348,10/170348.png,./10/170348.png,beauty,beauty|healthcare|other_service,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)|Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)|Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",creative|youthful|feminine,"Creative(inventive,productive)|Youthful(childlike)|Feminine(womanly,girlish)",All natural|honey|natural
174439,10/174439.png,./10/174439.png,travel,travel|cars,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)|Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",creative|active,"Creative(inventive,productive)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Flight/Speed|Sleekness/Speed|flight/speed|luxuery/speed|nature
170155,10/170155.png,./10/170155.png,beauty,beauty|soda,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)|Soda, juice, milk, energy drinks, water",eager|alert|active,"Eager(hungry,thirsty,passionate)|Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Energy |fast energy|energy|Future/Sporty
173717,10/173717.png,./10/173717.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",manly|creative|conscious|active,"Manly|Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Graffiti/Post|sports|achievement/celebrated/exciting|adventure|Ireland
172012,10/172012.png,./10/172012.png,beauty,beauty|clothing,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)|Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",creative|fashionable|feminine,"Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",Stylish/Beauty|Beauty/Energy/Style|Fashion/Fun
176673,10/176673.png,./10/176673.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",embrace|Sharing|sex appeal|playfulness|together
170088,10/170088.png,./10/170088.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",sexy/yummy|cherry flavor|music/artist|Natural
172979,10/172979.png,./10/172979.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|alert|active|manly|feminine|confident,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Manly|Feminine(womanly,girlish)|Confident(assured,strong,healthy)",Cool|Cool/Airy|fun/active/popular/stylish|Fun/Energy
177922,10/177922.png,./10/177922.png,animal_right,animal_right,"Animal rights, animal abuse",alert|alarmed|afraid|feminine|creative|confident,"Alert(attentive,curious)|Alarmed(concerned,worried,anxious,overwhelmed)|Afraid(horrified,scared,fearful)|Feminine(womanly,girlish)|Creative(inventive,productive)|Confident(assured,strong,healthy)",animal cruelty|Murder|Violence|Death/Blood|Nature/environment
170607,10/170607.png,./10/170607.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|eager,"Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",food/nourishment|food|fun
172519,10/172519.png,./10/172519.png,smoking_alcohol_abuse,smoking_alcohol_abuse,"Smoking, alcohol abuse",alarmed|disturbed|persuaded|creative|inspired|empathetic,"Alarmed(concerned,worried,anxious,overwhelmed)|Disturbed(disgusted,shocked)|Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Empathetic(sympathetic,supportive,understanding,receptive)",danger / fear|cancer/danger/unhealthy|cancer|Disability|Cancer/Smoking/Unhealthy
172613,10/172613.png,./10/172613.png,beauty,beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",active|creative|inspired|conscious|educated,"Active(energetic,adventurous,vibrant,enthusiastic,playful)|Creative(inventive,productive)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Conscious(aware,thoughtful,prepared)|Educated(informed,enlightened,smart,savvy,intelligent)",Love/Desire|love|closeness/intimacy|Classy/Romance/Classic
171892,10/171892.png,./10/171892.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|cheerful|eager,"Creative(inventive,productive)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Eager(hungry,thirsty,passionate)","Fresh, Sweet|healthy|Frozen dessert"
170983,10/170983.png,./10/170983.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|alert|active|persuaded|creative,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)",Desire|seduction|Desire |lust
170691,10/170691.png,./10/170691.png,domestic_violence,domestic_violence|charities|human_right,Domestic violence|Charities|Human rights,alarmed|angry|afraid|disturbed|empathetic|emotional,"Alarmed(concerned,worried,anxious,overwhelmed)|Angry(annoyed,irritated)|Afraid(horrified,scared,fearful)|Disturbed(disgusted,shocked)|Empathetic(sympathetic,supportive,understanding,receptive)|Emotional(vulnerable,moved,nostalgic,reminiscent)","abuse|silence |bandaid|children, defenseless |crossed"
171372,10/171372.png,./10/171372.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|emotional|eager,"Creative(inventive,productive)|Emotional(vulnerable,moved,nostalgic,reminiscent)|Eager(hungry,thirsty,passionate)",Self|FROZEN YOGURT|Simplicity|Satisfied
173960,10/173960.png,./10/173960.png,charities,charities|environment|animal_right,"Charities|Environment, nature, pollution, wildlife|Animal rights, animal abuse",alert|creative|conscious|calm|inspired|educated,"Alert(attentive,curious)|Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)|Calm(soothed,peaceful,comforted,fullfilled,cozy)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Educated(informed,enlightened,smart,savvy,intelligent)",Nature|puzzle|Environment/Animal Health|Environment/Recycling|endangered/fragile
172139,10/172139.png,./10/172139.png,healthcare,healthcare|topic_Dental care advocacy,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)|topic_Dental care advocacy",amused|alert|active,"Amused(humored,laughing)|Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Heart|teeth/heart|heart|heart|unhealthy
176400,10/176400.png,./10/176400.png,healthcare,healthcare|human_right,"Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)|Human rights",educated|alert,"Educated(informed,enlightened,smart,savvy,intelligent)|Alert(attentive,curious)",helpless/needy|Violence|abandoned|Environment/Help|Waiting
177443,10/177443.png,./10/177443.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|active|conscious|eager,"Creative(inventive,productive)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Conscious(aware,thoughtful,prepared)|Eager(hungry,thirsty,passionate)",Eating|disdain|Classic/art|Food|Art
173163,10/173163.png,./10/173163.png,beauty,beauty,"Beauty products and cosmetics (deodorants, toothpaste, makeup, hair products, laser hair removal, etc.)",persuaded|fashionable|inspired|feminine,"Persuaded(impressed,enchanted,immersed)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Feminine(womanly,girlish)",Beauty/Casual|natural beauty|beauty/natural/clean
173054,10/173054.png,./10/173054.png,chips,chips,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups",eager|loving|active,"Eager(hungry,thirsty,passionate)|Loving(loved,romantic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",flavor/variety|Fresh/Natural Ingredients|Excitement/Interest
174398,10/174398.png,./10/174398.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable,"Fashionable(trendy,elegant,beautiful,attractive,sexy)",Rural/Country|Naturalism/Nationalism|patriotism|Patriotism/Natural|natural/soft
170398,10/170398.png,./10/170398.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",alarmed|creative|eager,"Alarmed(concerned,worried,anxious,overwhelmed)|Creative(inventive,productive)|Eager(hungry,thirsty,passionate)",Unwrap|real self|quirky humor |ELDERLY
173048,10/173048.png,./10/173048.png,alcohol,alcohol,Alcohol,educated|cheerful|alert,"Educated(informed,enlightened,smart,savvy,intelligent)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Alert(attentive,curious)",soap bubbles not pollution|Cleanness/Purity|clean|Vodka/Perfect World|Industrialism/Peace
170915,10/170915.png,./10/170915.png,safety,safety,"Safety, safe driving, fire safety",educated|alert|conscious|active,"Educated(informed,enlightened,smart,savvy,intelligent)|Alert(attentive,curious)|Conscious(aware,thoughtful,prepared)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",death|death|death|shows the results of a higher impact on the left side compared to the right side of the childs skull|death
170956,10/170956.png,./10/170956.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",active|eager|amazed|creative|cheerful|thrifty,"Active(energetic,adventurous,vibrant,enthusiastic,playful)|Eager(hungry,thirsty,passionate)|Amazed(surprised,astonished,awed,fascinated,intrigued)|Creative(inventive,productive)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Thrifty(frugal)",Ice Cream
172255,10/172255.png,./10/172255.png,animal_right,animal_right,"Animal rights, animal abuse",fashionable|manly|feminine|persuaded|inspired|empathetic,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Manly|Feminine(womanly,girlish)|Persuaded(impressed,enchanted,immersed)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Empathetic(sympathetic,supportive,understanding,receptive)",Naked/Desire|Glamour|Protest/Animal equality|Sex/Seduction
