ad_id,json_key,image_path,competitor,all_categories,all_categories_full,all_sentiments,all_sentiments_full,objects_symbols,image_width,image_height,image_format,ocr_text,ocr_word_count,ocr_confidence_avg,text_area_px,image_area_px,text_image_ratio,layout_type,dominant_color_1,dominant_color_2,dominant_color_3,dominant_color_4,dominant_color_5,color_palette_json,extraction_status
170963,10/170963.png,./10/170963.png,media,media|other_service,"Media and arts (TV shows, movies, musicals, books, audio books, etc.)|Other services (dating, tax, legal, loan, religious, printing, catering, etc.)",alert|active|alarmed|persuaded|creative|amused|educated,"Alert(attentive,curious)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Alarmed(concerned,worried,anxious,overwhelmed)|Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Amused(humored,laughing)|Educated(informed,enlightened,smart,savvy,intelligent)",attention|stop ,452,560,PNG,HEY YOU ABOUT TO USE COMIC SANS FOR THAT THING YOURE MAKING... Let's make this world a more beautiful place. liliribs.com,21,89.57,54742,253120,0.2163,balanced,#E4E3E5,#B82230,#343637,#6C6C6D,#BB939C,"[""#E4E3E5"", ""#B82230"", ""#343637"", ""#6C6C6D"", ""#BB939C""]",success
170470,10/170470.png,./10/170470.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",creative|cheerful|amused|eager,"Creative(inventive,productive)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Amused(humored,laughing)|Eager(hungry,thirsty,passionate)",real milk|nature fun|popular|fun|mixing,600,874,PNG,,0,0.0,0,524400,0.0,image_heavy,#E4D6C4,#3EA9E0,#6A9342,#381B21,#9A9F9F,"[""#E4D6C4"", ""#3EA9E0"", ""#6A9342"", ""#381B21"", ""#9A9F9F""]",success
170241,10/170241.png,./10/170241.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|fashionable,"Manly|Fashionable(trendy,elegant,beautiful,attractive,sexy)",hard working heroic|Strong |Desirability/Masculinity|Protection,1504,1060,PNG,"Let ‘em know youre SD JOCKEY. POUCH Firefighters Dallas, TX November 20, 1998",13,85.46,15245,1594240,0.0096,image_heavy,#2B2423,#EBE4DE,#8E5233,#BF8B4F,#96948C,"[""#2B2423"", ""#EBE4DE"", ""#8E5233"", ""#BF8B4F"", ""#96948C""]",success
171452,10/171452.png,./10/171452.png,chips,chips|chocolate,"Chips, snacks, nuts, fruit, gum, cereal, yogurt, soups|Chocolate, cookies, candy, ice cream",creative|youthful|eager,"Creative(inventive,productive)|Youthful(childlike)|Eager(hungry,thirsty,passionate)",colorful candy|rainbow of flavors|candy/rainbow|Sweet,1800,900,PNG,TH NBOW Ski sa,4,66.0,143645,1620000,0.0887,image_heavy,#75BFE6,#D98E77,#712E2B,#7E8A28,#0D8CA2,"[""#75BFE6"", ""#D98E77"", ""#712E2B"", ""#7E8A28"", ""#0D8CA2""]",success
171043,10/171043.png,./10/171043.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",loving|fashionable|feminine,"Loving(loved,romantic)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",irresistible sexuality|desire|Passion Sex|sex,620,843,PNG,,0,0.0,0,522660,0.0,image_heavy,#1F2022,#DEE0DC,#93A6AD,#276C9B,#C05D35,"[""#1F2022"", ""#DEE0DC"", ""#93A6AD"", ""#276C9B"", ""#C05D35""]",success
170880,10/170880.png,./10/170880.png,shopping,shopping,"Shopping (department stores, drug stores, groceries, etc.)",alert|creative|thrifty|conscious|educated,"Alert(attentive,curious)|Creative(inventive,productive)|Thrifty(frugal)|Conscious(aware,thoughtful,prepared)|Educated(informed,enlightened,smart,savvy,intelligent)",ELECTRONICS,836,581,PNG,Black Walmart 2013 How to understand this HOT event,9,96.0,50297,485716,0.1036,image_heavy,#1D4962,#FBF606,#C02830,#D7D0D0,#95A035,"[""#1D4962"", ""#FBF606"", ""#C02830"", ""#D7D0D0"", ""#95A035""]",success
173676,10/173676.png,./10/173676.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",manly|creative|conscious,"Manly|Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)",Travel,1200,1600,PNG,"Direccion hidraulica Volante de direccion regulable Alzavidrios electrico Gierre central de puertas STANZA LX Luz chapa exterior $ 3.894.000 IVA INC. Acceso maleta desde el interior STANZA SGX 5 VELOC. Control remoto maleta y $ 3.965.000 IVa INC. Control electrico espejos exteriores tablero de control luces testigo multiples tunciones) Finisimas-terminaciones "" | jubricado con Av. Vicuna Mackenna 3300 TELEFONO:5557415 ‘CONCESIONARIOS: SANTIAGO: Aufomotora Los Leones Lida. Eleodoro Los Aufocénter Lida. Carmen 780 Curifor Av. V. Mackenna 4742 Besa Automotora $.A Bilbao 2045 Camare Autos Lida. Av. 305 Com. Automotriz Bellavista Lida. 234 Concion Lhin y Cia. Lida. Av. Manuel Rodriguez 950 J & $ Automéviles Lida. 505 Soc. Com. Automotrk C6rdova Autos Av. Apoquindo COPIAPO - LA SERENA: Aulomotriz Baimaceda Lida. OVALEE: SAN FELIPE: Claudio RANCAGUA: J. M. C. Autos SAN VICENTE: J. M. C. Autos RENGO: 1. C. Autos SAN Curlfor SA. UNARES: Sergio A. Cic. Uda. CHILLAN: Cullior S.A. TEMUCO: Com. to",153,81.28,83480,1920000,0.0435,image_heavy,#272A2B,#DACDB4,#8793A6,#AEAFB2,#928881,"[""#272A2B"", ""#DACDB4"", ""#8793A6"", ""#AEAFB2"", ""#928881""]",success
170033,10/170033.png,./10/170033.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|feminine,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",models fashion|stand out|purse|fashion,720,489,PNG,,0,0.0,0,352080,0.0,image_heavy,#E5CFB8,#72462C,#B18966,#A16D45,#746456,"[""#E5CFB8"", ""#72462C"", ""#B18966"", ""#A16D45"", ""#746456""]",success
171668,10/171668.png,./10/171668.png,restaurant,restaurant,"Restaurants, cafe, fast food",eager|cheerful|active,"Eager(hungry,thirsty,passionate)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",pizza is directed to those who are looking for weight loss|diet|low caloring|HEALTHY EATING,736,539,PNG,,0,0.0,0,396704,0.0,image_heavy,#074782,#CD8D75,#46271A,#6EADC5,#408CC7,"[""#074782"", ""#CD8D75"", ""#46271A"", ""#6EADC5"", ""#408CC7""]",success
170547,10/170547.png,./10/170547.png,cars,cars,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)",alert|eager|active|persuaded|confident|inspired,"Alert(attentive,curious)|Eager(hungry,thirsty,passionate)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Persuaded(impressed,enchanted,immersed)|Confident(assured,strong,healthy)|Inspired(motivated,ambitious,empowered,hopeful,determined)",CAR FOR ALL VACATIONS|adventures,2000,1270,PNG,"iii WE CELEBRATING ) MI ‘nat Ate YEARS IN THE UK MITSUBISHI MOTORS INTELLIGENT MOTION MITSUBISHI ASX Whichever direction your life takes you - the ASX is ready for the adventure. It can wind its way along country lanes or glide through urban traffic. The panoramic roof? is perfect for star-lit countryside skies or mesmerising city skylines. Plus the ASX delivers up to 55 MPG, and is available with 0% APR Representative finance’. Which means that while the ASX is ready for the wildest adventure, buying one is a walk in the park. We call this Intelligent Motion. O% UPTO | 2WD&4WD | PANORAMIC | | AVAILABLE ROOF’ MITSUBISHI ASX RANGE FROM £14,999 - £23,899"" Start your great adventure | Visit mitsubishi-cars.co.uk to find your nearest dealer. 1. Finance plans are only available through Finance Mitsubishi, 116 Cockfosters Road, Barnet, EN4 ODY and are subject to status to customers aged 18 and over. Finance Mitsubishi is part of Lloyds Bank Asset Finance. 0% APR Representative finance rate is better than rates available from high street lenders and requires a 50% deposit, other offer: are available - ask for details. Indemnities may be required. Offer is only applicable in the UK (excludes NI, Channel Islands & |.0.M), subject to availability, whilst stocks last and may be amended or withdrawn at any time. Offer available at participating dealers between Ist April and 30th June 2014. 2. Panoramic roof available on the ASX 4 only. 3. Price: start from £14,999 for ASX 2 1.6 petrol to £23,899 for ASX 4 2.2 diesel 4WD auto. Prices shown include VAT (at 20%), exclude VED and First Registration Fee. Prices correct at time of going to print. Metallic paint extra. Fuel figures shown are official EU test figures, to be used as a guide for comparative purposes and may not reflect real driving results. ASX range fuel consumption in mpg (Itrs/100km): Urban 36.7 — 44.8 (7.7 — 6.3), Extra Urban 55.4 — 62.8 (5.1 — 4.5), Combined 47.1 — 55.4 (6.0 — 5.1), COz emissions 153 - 134 g/km.",343,93.38,241690,2540000,0.0952,image_heavy,#DCDCDD,#293D47,#BD2542,#7B8589,#859947,"[""#DCDCDD"", ""#293D47"", ""#BD2542"", ""#7B8589"", ""#859947""]",success
175955,10/175955.png,./10/175955.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|fashionable|eager,"Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Eager(hungry,thirsty,passionate)",Home|Cuteness/Craving|light/fluffy|food/relaxing|Home/Stationary,3300,2550,PNG,WELCOME TO MY LIVING ROOM / f | \ \ WWW.BASKINROBINS.COM HoMe delivery,13,76.92,50723,8415000,0.006,image_heavy,#EBE5E2,#B53D61,#40303F,#96958A,#A4825C,"[""#EBE5E2"", ""#B53D61"", ""#40303F"", ""#96958A"", ""#A4825C""]",success
175963,10/175963.png,./10/175963.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|alert|amazed|creative|confident|empathetic,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Alert(attentive,curious)|Amazed(surprised,astonished,awed,fascinated,intrigued)|Creative(inventive,productive)|Confident(assured,strong,healthy)|Empathetic(sympathetic,supportive,understanding,receptive)",Risk/Daring|Danger/Adventure|danger/risk|fashion/heights|Effortless/Free/In control,300,300,PNG,eis,1,48.0,7788,90000,0.0865,image_heavy,#D3E4E9,#2A465E,#878F90,#736561,#7E766A,"[""#D3E4E9"", ""#2A465E"", ""#878F90"", ""#736561"", ""#7E766A""]",success
171969,10/171969.png,./10/171969.png,cars,cars|topic_girl scouts|charities,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)|topic_girl scouts|Charities",proud|active|creative|confident|youthful|inspired|emotional,"Proud(patriotic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Creative(inventive,productive)|Confident(assured,strong,healthy)|Youthful(childlike)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Emotional(vulnerable,moved,nostalgic,reminiscent)",girl empowerment |Strong|Strength|strength|strong,600,895,PNG,,0,0.0,0,537000,0.0,image_heavy,#D1BB7C,#453820,#993827,#F9F3ED,#967831,"[""#D1BB7C"", ""#453820"", ""#993827"", ""#F9F3ED"", ""#967831""]",success
172969,10/172969.png,./10/172969.png,environment,environment,"Environment, nature, pollution, wildlife",creative|conscious|alert|amazed,"Creative(inventive,productive)|Conscious(aware,thoughtful,prepared)|Alert(attentive,curious)|Amazed(surprised,astonished,awed,fascinated,intrigued)",environment/ go green|Light/Energy|electricity/power|environmental,700,467,PNG,") The Greenest Power Is Power Not Used. require bulding new generating near Wise energy use an help of needs, and choices you make now can actually reduce your usage. Install FLighs. Select energy appliances. ‘We can't put offall future needs and growth, but nothing canbe greener than energy nat used. j (6 copy 2008 South Mics cere Power",59,72.0,33596,326900,0.1028,image_heavy,#D7E2D5,#3A7E57,#84B888,#A2CA48,#716966,"[""#D7E2D5"", ""#3A7E57"", ""#84B888"", ""#A2CA48"", ""#716966""]",success
173353,10/173353.png,./10/173353.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|active|amused|eager,"Creative(inventive,productive)|Active(energetic,adventurous,vibrant,enthusiastic,playful)|Amused(humored,laughing)|Eager(hungry,thirsty,passionate)",Food consumption|Natural Ingredients|natural/real|natural,1024,768,PNG,before after right after,4,96.0,14764,786432,0.0188,image_heavy,#EEDDC4,#C51A24,#4D0F05,#741F11,#E08A95,"[""#EEDDC4"", ""#C51A24"", ""#4D0F05"", ""#741F11"", ""#E08A95""]",success
172746,10/172746.png,./10/172746.png,soda,soda,"Soda, juice, milk, energy drinks, water",active|alert|eager,"Active(energetic,adventurous,vibrant,enthusiastic,playful)|Alert(attentive,curious)|Eager(hungry,thirsty,passionate)",Refeshing|liquid / refreshing|Fresh,596,334,PNG,THIS IS SPRITE. iS PRITE,5,63.8,103164,199064,0.5182,text_heavy,#089F52,#E2F6E8,#63C590,#76EAAF,#065F2D,"[""#089F52"", ""#E2F6E8"", ""#63C590"", ""#76EAAF"", ""#065F2D""]",success
173120,10/173120.png,./10/173120.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",manly|creative|fashionable|feminine,"Manly|Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)","Everyone/Old and Young|all generations, Family|Vacation/Family|Friendship/Classiness/Beauty",1440,1958,PNG,HILFIGER ce} € = ~ a. ce) = w,9,67.78,5934,2819520,0.0021,image_heavy,#30464D,#E5DDD2,#894B39,#D6954B,#81A8A9,"[""#30464D"", ""#E5DDD2"", ""#894B39"", ""#D6954B"", ""#81A8A9""]",success
173188,10/173188.png,./10/173188.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|feminine|persuaded|inspired|empathetic,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)|Persuaded(impressed,enchanted,immersed)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Empathetic(sympathetic,supportive,understanding,receptive)",Seductive/Lust|Feminine|dreamy/luxurious|Beauty/Dreaminess,300,400,PNG,,0,0.0,0,120000,0.0,image_heavy,#343A47,#BFB4AB,#888180,#95B2C4,#839DB3,"[""#343A47"", ""#BFB4AB"", ""#888180"", ""#95B2C4"", ""#839DB3""]",success
174815,10/174815.png,./10/174815.png,restaurant,restaurant,"Restaurants, cafe, fast food",creative|angry|empathetic|alert,"Creative(inventive,productive)|Angry(annoyed,irritated)|Empathetic(sympathetic,supportive,understanding,receptive)|Alert(attentive,curious)",super heroes|Superpowers|Superheroes|Fantasy/Powerful|super heros,600,399,PNG,,0,0.0,0,239400,0.0,image_heavy,#1D2F5C,#E5DFDF,#A5485D,#DBBC1F,#768491,"[""#1D2F5C"", ""#E5DFDF"", ""#A5485D"", ""#DBBC1F"", ""#768491""]",success
172907,10/172907.png,./10/172907.png,electronics,electronics|shopping,"Electronics (computers, laptops, tablets, cellphones, TVs, etc.)|Shopping (department stores, drug stores, groceries, etc.)",cheerful|fashionable|thrifty|feminine,"Cheerful(delighted,happy,joyful,carefree,optimistic)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Thrifty(frugal)|Feminine(womanly,girlish)",Freedom/Childhood|Fun/Amazing|Fun/Party,600,832,PNG,"COOLPIX S80"" mp8 ee",4,60.25,7645,499200,0.0153,image_heavy,#D5D0BF,#393C50,#A44543,#7DA4A2,#A97A4D,"[""#D5D0BF"", ""#393C50"", ""#A44543"", ""#7DA4A2"", ""#A97A4D""]",success
173645,10/173645.png,./10/173645.png,chocolate,chocolate|restaurant,"Chocolate, cookies, candy, ice cream|Restaurants, cafe, fast food",creative|thrifty|eager,"Creative(inventive,productive)|Thrifty(frugal)|Eager(hungry,thirsty,passionate)",Delicious/Dessert|Casual/Friendly,539,747,PNG,"Yohey. I'sme, Pal, the orginal Dollar litle helpfel hint to, inom, called the hot fulge sundae and can be found on Tes ht, egy and, od for i's that your desire thats nore thon ahint et, i's sweet one. »",40,64.22,15083,402633,0.0375,image_heavy,#CCC2C6,#24151C,#A4723D,#803827,#7F7384,"[""#CCC2C6"", ""#24151C"", ""#A4723D"", ""#803827"", ""#7F7384""]",success
172142,10/172142.png,./10/172142.png,alcohol,alcohol|healthcare,"Alcohol|Healthcare and medications (hospitals, health insurance, allergy, cold remedy, home tests, vitamins)",creative|grateful|alert,"Creative(inventive,productive)|Grateful(thankful)|Alert(attentive,curious)",Health|Heart|Health/Wellbeing|health/doctor|vodka bottle,417,650,PNG,id NA ABSOLUT HEALTH,4,71.5,163630,271050,0.6037,text_heavy,#EEEBEA,#7D726F,#ABA29F,#938C84,#8C8C8C,"[""#EEEBEA"", ""#7D726F"", ""#ABA29F"", ""#938C84"", ""#8C8C8C""]",success
175404,10/175404.png,./10/175404.png,environment,environment|animal_right,"Environment, nature, pollution, wildlife|Animal rights, animal abuse",active|eager|conscious|educated|empathetic|emotional,"Active(energetic,adventurous,vibrant,enthusiastic,playful)|Eager(hungry,thirsty,passionate)|Conscious(aware,thoughtful,prepared)|Educated(informed,enlightened,smart,savvy,intelligent)|Empathetic(sympathetic,supportive,understanding,receptive)|Emotional(vulnerable,moved,nostalgic,reminiscent)",Earth/Destruction|earth/envirnoment|Environment/Loss|environment/heat|global warming,360,460,PNG,,0,0.0,0,165600,0.0,image_heavy,#0E1219,#BDB19D,#625F5F,#54729D,#7893AC,"[""#0E1219"", ""#BDB19D"", ""#625F5F"", ""#54729D"", ""#7893AC""]",success
173376,10/173376.png,./10/173376.png,restaurant,restaurant,"Restaurants, cafe, fast food",persuaded|creative|active,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",Morning/ Light|quality|Skyline|Holiday/Hanukkah|arch,948,1400,PNG,(Y\ ?mlovin’ it®,3,63.0,8534,1327200,0.0064,image_heavy,#711B16,#DC6D22,#280B0B,#AF985B,#A4848C,"[""#711B16"", ""#DC6D22"", ""#280B0B"", ""#AF985B"", ""#A4848C""]",success
173762,10/173762.png,./10/173762.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",feminine|fashionable|inspired|active,"Feminine(womanly,girlish)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Inspired(motivated,ambitious,empowered,hopeful,determined)|Active(energetic,adventurous,vibrant,enthusiastic,playful)","Desire/Wanting|sex, sexy|Youth/Beauty",2000,1000,PNG,Calvin Klein,2,96.0,98960,2000000,0.0495,image_heavy,#AEAEAE,#0E0E0E,#5F5F5F,#848484,#7C7C7C,"[""#AEAEAE"", ""#0E0E0E"", ""#5F5F5F"", ""#848484"", ""#7C7C7C""]",success
171186,10/171186.png,./10/171186.png,travel,travel,"Vacation and travel (airlines, cruises, theme parks, hotels, travel agents, etc.)",persuaded|creative|alert,"Persuaded(impressed,enchanted,immersed)|Creative(inventive,productive)|Alert(attentive,curious)",freedom|Delta airlines|freedom,652,367,PNG,,0,0.0,0,239284,0.0,image_heavy,#202D34,#C6CFD3,#A47824,#8B4C20,#71868C,"[""#202D34"", ""#C6CFD3"", ""#A47824"", ""#8B4C20"", ""#71868C""]",success
171930,10/171930.png,./10/171930.png,clothing,clothing,"Clothing and accessories (jeans, shoes, eye glasses, handbags, watches, jewelry)",fashionable|feminine,"Fashionable(trendy,elegant,beautiful,attractive,sexy)|Feminine(womanly,girlish)",Trendy|Confidence|retro glam|innocence,620,827,PNG,,0,0.0,0,512740,0.0,image_heavy,#D5BCB5,#10213C,#3E6682,#7B9CAE,#6188A5,"[""#D5BCB5"", ""#10213C"", ""#3E6682"", ""#7B9CAE"", ""#6188A5""]",success
172086,10/172086.png,./10/172086.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",eager|cheerful|active,"Eager(hungry,thirsty,passionate)|Cheerful(delighted,happy,joyful,carefree,optimistic)|Active(energetic,adventurous,vibrant,enthusiastic,playful)",mouth|bliss|Silence/Bondage|mouth,600,405,PNG,,0,0.0,0,243000,0.0,image_heavy,#0C090B,#E0DDEB,#777192,#B05D47,#83849F,"[""#0C090B"", ""#E0DDEB"", ""#777192"", ""#B05D47"", ""#83849F""]",success
171253,10/171253.png,./10/171253.png,chocolate,chocolate,"Chocolate, cookies, candy, ice cream",eager|creative|confident|youthful|conscious,"Eager(hungry,thirsty,passionate)|Creative(inventive,productive)|Confident(assured,strong,healthy)|Youthful(childlike)|Conscious(aware,thoughtful,prepared)",fresh natural|FARM,600,874,PNG,,0,0.0,0,524400,0.0,image_heavy,#87C2E6,#739243,#23190E,#613D2C,#EBECDE,"[""#87C2E6"", ""#739243"", ""#23190E"", ""#613D2C"", ""#EBECDE""]",success
171574,10/171574.png,./10/171574.png,alcohol,alcohol,Alcohol,amused|creative|fashionable|eager,"Amused(humored,laughing)|Creative(inventive,productive)|Fashionable(trendy,elegant,beautiful,attractive,sexy)|Eager(hungry,thirsty,passionate)",Entertainment|keg|party|quality|entertainment,610,862,PNG,made to entertain.,3,96.0,1300,525820,0.0025,image_heavy,#447038,#C1C091,#062711,#92B479,#94A89C,"[""#447038"", ""#C1C091"", ""#062711"", ""#92B479"", ""#94A89C""]",success
173627,10/173627.png,./10/173627.png,cars,cars|safety,"Cars, automobiles (car sales, auto parts, car insurance, car repair, gas, motor oil, etc.)|Safety, safe driving, fire safety",creative|educated|inspired,"Creative(inventive,productive)|Educated(informed,enlightened,smart,savvy,intelligent)|Inspired(motivated,ambitious,empowered,hopeful,determined)","Innovation|Christian/Religion|death|God, Religion|death / danger",1697,2400,PNG,Enter Passcode Emergency DON’T TEXT AND DRIVE.,7,94.57,24789,4072800,0.0061,image_heavy,#717D7F,#D8DCDE,#121212,#B1BDC0,#AAB4BC,"[""#717D7F"", ""#D8DCDE"", ""#121212"", ""#B1BDC0"", ""#AAB4BC""]",success
