ad_id,ocr_text,sentiment_polarity,sentiment_subjectivity,top_words,top_keywords
171892,NOW OPEN! Try the Sensation Fat Free Flavors Available Gluten Free Located by Teavana in the Macy’s/Sears wing,0.3,0.625,free|open|try,free|fat|flavors
170691,Have 5 million uninsured children been crossed off the nation’s to-do list too NCLR sn,0.0,0.0,million|uninsured|children,children|million
172139,"TAKE CARE OF YOUR TEETH BEFORE THEY TAKE CARE OF YOUR HEART between caves snd ‘Brush your teeth a 1a prvent cas,",0.0,0.0,take|care|teeth,care|heart
176400,Abarbanel’s patients are looking for a sane environment rr) rr Don ‘Mental Health Center,-0.1,0.15,rr|abarbanel|patients,looking|center|health
177443,The art of lalian chocolate,0.0,0.0,art|lalian|chocolate,art|chocolate
170915,"Hit Hit at at 40mph 30mph an chance fide. Ws TAR,",0.0,0.0,hit|40mph|30mph,chance
170956,‘Buy oni Gotta Have It Origina Creation™ an GET ONE FRE!,0.0,0.0,buy|oni|got,buy
172004,"Mobile Plans Get abundant data and talktime with any of these plans more value selected bundles om 2 ow bythe By ey ‘Other Promotions Stand to win laptops, mobile phones, shopping vouchers and other p...",0.33,0.52,mobile|plans|get,plans|win|mobile
172767,for a good time with friends,0.7,0.6,good|time|friends,friends|good|time
172061,"made like no other last berry standing Before we launched our strawberry, we searched six long years to find the perfect variety of berry. And only the Pacific Northwest berry was worthy. Pure. Intens...",0.22,0.6677,berry|made|like,pure|long|perfect
172509,urns) ~20 an. Pe a 2 faun,0.0,0.0,urns|pe|faun,20
171126,"$S DEAL i ie cat DQ Quen Cop, Nps.",0.0,0.0,deal|ie|cat,
176384,Kal) NOW) HAVE FUN WHEN YOU MUNCH™,0.3,0.2,kal|fun,fun
173809,All you can eat Rest stop,0.0,0.0,eat|rest|stop,stop|eat
170185,NOW YOU CAN GET EIGHT CARAMEL MACCHIATOS FOR THE PRICE OF Boldly sweet Caramel Macchiato. Rich and decadent Vanilla Latte. Creamy and luscious White Chocolate Mocha. Discover more at InternationalDeli...,0.3063,0.475,caramel|get|eight,caramel|vanilla|brand
172630,"beter way oe re: Rush nergy Drink asa strengthening function because contains of the asino ai which activates rain ells and enhance by function up to eight times, Soyoucant runout of ENERGY!",0.0,0.0,function|beter|way,times|oe|energy
172802,Have 9 a a =,0.0,0.0,,
172156,It they eat clay they can surely eat vegetables.,0.5,0.8889,eat|clay|surely,eat
170931,It’s the real thing,0.2,0.3,real|thing,thing|real
172198,CHANGE IS BAD UNCHANGED SINCE 1899,-0.7,0.6667,change|bad|unchanged,bad|change
174723,Who needs fur to feel beautiful? Olivia Munn,0.85,1.0,needs|fur|feel,needs|feel|beautiful
170510,She’1l tell you size doesn’t matter. She’s lying.,0.0,0.0,1l|tell|size,doesn|tell|size
177418,ie STARBURST FLAVOUR MORPHS ‘THE CHEWS THAT CHANGE THEIR FLAVOUR,0.0,0.0,flavour|ie|starburst,change
175935,"Celebrate “Pi” with Sbarro the best way to celebrate National Pi Day? By enjoying a $1.00 SLICE of handmade freshly baked Sbarro pizza pie! ‘The votes are in and you, our fans, have declared CHEESE PI...",0.54,0.56,get|coupon|celebrate,coupon|baked|celebrate
177459,Hows ae qo. ? HANNAH TETER IS RELAUNCH. FIND YOUR ENERGY AT AMPENERGY.COM EY a,0.0,0.0,hows|ae|qo,energy|ae|com
174139,"Lay's, getyoursmile on! (23 Food for the fun of it! Lay's, get your smile on! Lay's. Want some? Lays ka mazaa Pakig i You can't eat just on d India) No one can Ome app iness simple",0.25,0.219,lay|getyoursmile|23,india|23|fun
177447,our Sup & x,0.0,0.0,sup,
171972,"It’s not out in the open, but GRIEF ISHERE. 1 out of 3 college students experienced the illness or loss of a family member or close friend in the last year. Talk about loss and help your friends in ne...",0.0,0.3533,students|loss|open,school|talk|friends
172210,": + (4 NOW, WE'RE T THE NEW STEREO, (YOU SHOULD SEE HOW WE TEST THE 4-WHEEL DRIVE SYSTEM)",0.1364,0.4545,new|stereo|see,test|drive|new
177905,RONE 4 al TOs:,0.0,0.0,rone|al|tos,al
173382,"your style never takes a rain check in a look like this... SHOP THIS LOOK > hooded cozy topper fashion AND function pintuck tunic aa great look s ore: easy cotton cardigan that adds warmth, rot bulk, ...",0.3806,0.7778,look|shop|style,look|shop|sale
173570,"NESTLES - MAKES THE VERY BEST CHOCOL The secret of the Swiss is shared with you in all 21 products. Born in Switzerland, made in America since 1907, and enjoyed in 108 countries around the world.",0.3667,0.5967,nestles|makes|best,products|america|makes
171332,If they eat clay they can surely eat vegetables. ‘Teach your kids healthy eating habits.,0.5,0.6944,eat|clay|surely,eat|kids|healthy
173335,NEW L@@SE CHANGE MENU,0.1364,0.4545,new|se|change,menu|change|se
171970,( learn geography 7 in school. \ In Girl,0.0,0.0,learn|geography|school,school|learn
170189,"do the dew""",0.0,0.0,dew,
170239,"MAKE IT ONE OF A KIND — JUST LIKE YOU Add a monogram. Add an embroidery. Better yet, add both!",0.6125,0.7,add|make|one,add|better|make
174658,"you use copied software, 2 littie treat to adorn your peisen cell, ‘Tee van of 8 Pare Cot",0.0,0.0,use|copied|software,treat|use
170215,KE ‘AN \,0.0,0.0,ke,
173775,PONS AT THE DOOR WHILE THEY LAST! 100 OFF CPenney Black Friday Ad Scan for 2014 Page 2 of 72 DOORBUSTER cooks SUS FARBERWARE,-0.0833,0.25,pons|door|last,friday|2014|black
174835,"SEPTEMBER 14 Select stores, Target.com, and globally at NET-A-PORTER.COM > pf 5”",0.0,0.0,september|14|select,com|select|net
170715,"= STOMACH STRETCH The average Chipotle burrito weighs 1.6 Ibs PREPARE PROPERLY, EAT RAVENOUSLY",-0.075,0.25,stomach|stretch|average,eat
172546,"9 SCABS, HALLUCINATIONS AND BODY SORES Mtr,",0.0,0.0,scabs|hallucinations|body,body
176491,Tan Chong and Nissan wishes you a HAPPY and PROSPEROUS LUNAR NEW YEAR,0.4682,0.7273,tan|chong|nissan,happy|nissan|year
172356,TRACES OF |,0.0,0.0,traces,
177781,"se ee Cc Th, seth ‘nen pad toner ond cet pod ‘to",0.0,0.0,se|ee|cc,ond|th|ee
171712,"TO DIE FOR {yas siting here minding my own noe et The our toe. Wit opening Fr one whe trum on Comer, Keth end even knew rn, tron Mom is ot he hear my coming Right 0 tht ove Rood ito geod",0.4429,0.7679,die|yas|siting,fr|ot|et
173414,BOLD NEW TONIC DI,0.2348,0.5606,bold|new|tonic,new
173131,f | | 800.23.LOEWS #TravelForReal Portofino THE ROOM YOU NEED | ld LOEWS LOEWS HOTELS & RESORTS LOEWS REGENCY,0.0,0.0,loews|travelforreal|portofino,23|800|need
173384,5Good Reasons Not to Diet,0.0,0.0,5good|reasons|diet,
173920,"xr xs XK LOOKS LIKE SOMEBODY'S, GETTING A NEW JAGUAR.",0.1364,0.4545,xr|xs|xk,getting|like|new
172440,Sumpin Jupiter! So much goodness for so little jack ! \ hythebox —~ Necco Wafers: for Holiday ‘make suell handouts,-0.0172,0.35,sumpin|jupiter|much,little|make
170282,CANDY BARS DELICIOUS HAZEL NUT WAFER BAR ITH CREAMY § THREE ide BARS 25¢ | Goer BAZOOKA BUBBLE GUM ‘A YOUNG AMERICA FAVORITE! BOX OF 20 PIECES 19¢,0.575,0.8,bars|candy|delicious,bubble|gum|19
174330,When your ~ a 4 they can end up| targeting and sexuall wiolating people unable to consent. Decisions like,-0.5,0.5,end|targeting|sexuall,end|people|like
171251,"every day 70,000 people wait 20 minutes for this pizza, be worth the wait)",0.3,0.1,wait|every|day,70|pizza|worth
172884,{OUR TWO FAVORITE Worps. CHEESECARE DOUGHNUT CARAMEL CHEESECAKE DOUGHNUT CHOCOLATE CHEESECAKE DOUHNUT U.S. and rhe,0.5,1.0,doughnut|cheesecake|two,caramel|favorite|chocolate
172591,"LACOSTE FIFTH AVENUE FLAGSHIP NOW OPEN 608 FIFTH AVENUE AT 49TH STREET, NYC",0.0,0.5,fifth|avenue|lacoste,street|lacoste|open
170353,* Keine Models - aber straffe Dove Werber von Ogilvy Diissedort.,0.0,0.0,keine|models|aber,dove
171268,"Pet, Our Passion: You",0.0,0.0,pet|passion,
174797,#PositiveLove O tt &,0.0,0.0,positivelove|tt,
172663,"Starburst or Starbucks DoubleShot 6.5 02, Plus deposit required 1° = 4s | for ext purchase rewards oe it 1 per wh car. (20008851777) ‘rewards for aa | Excedrin Extra Strength caplets oxtrabucks® ot: i...",0.0,0.1,rewards|per|aa,rewards|offer|extra
172069,“There’s nothing timid about Pepperidge Rye Bread. ‘This rye has a flavor that can stand up to ham and mustard!,0.0,0.0,rye|nothing|timid,pepperidge|stand|flavor
171658,"CBRE serves CHRISTUS Health. So CHRISTUS Health can serve its communities. CBRE Healthcare proud to partner with CHRISTUS Health. For premier healthcare providers like CHRISTUS, we leverage the world’...",0.3623,0.5221,cbre|christus|health,health|meet|needs
170529,New Carlsberg bottle. Too good to cover up.,0.4182,0.5273,new|carlsberg|bottle,good|new
170598,IN 5} aee,0.0,0.0,aee,
171225,"FINE JEWELRY Dior << | Rose des vents collection Yellow gold, diamonds, lapis-lazuli and turquoise.",0.3389,0.4833,fine|jewelry|dior,gold|collection|fine
170775,"WHY STOP? WE HAVE PLENTY OF GAS. SORRY, WAS EATING AMILKY WAY",-0.5,1.0,stop|plenty|gas,eating|stop|way
172436,THURSDAY tinea ‘GUARANTEED. J ats 1-800-356-4444,0.0,0.0,thursday|tinea|guaranteed,guaranteed|800
173296,Introducing MacBook Pro with 13-inch Retina display Over 4 million pixels. Under 3.6 pounds. It’s impressive by any measure.,1.0,1.0,introducing|macbook|pro,display|million|13
171902,AT KROGER. ann UN SENSE IN AMERICA #GrocétiesNotGuns,0.0,0.0,kroger|ann|un,america
175621,"y | Dove New Dove™ Anti-Frizz Cream. A new movement in hair is here. Turn hair nto foxy monvra hale. Now Dove Croam wih cur Weightloss har eooth,ehny ac leave it greasy. to bie unstick your style ay",0.1364,0.4545,dove|new|hair,dove|hair|new
172686,"Jutta RoBerts PARIS the number one beauty brand in the world, to welcome Julia Roberts as our new ambassadress We invite you 10 discover Julia favorite products: Dual Finish compact foundation, Défnic...",0.4788,0.7848,roberts|julia|jutta,dual|brand|foundation
175014,—— rethink possible.,0.0,1.0,rethink|possible,
171057,"Droviedly, emptying our cups helps keap mary others Billed. Help support the fight against breast cancer by purchasing, specially designed packages (of Pepperidge Farm cookies ‘at your local grocer. c...",0.1786,0.2857,droviedly|emptying|cups,cancer|pepperidge|designed
173061,"If you find anything else inside our bag, it’s called your hand. Just ll & a dash of salt: sit",0.0,0.0,find|anything|else,inside|ll|just
173220,"Mee kanes your wth no damage, for Itt gives yoo twice thos commen dist bye",0.0,0.0,mee|kanes|wth,gives
173161,LANCOME PARIS Sa <2 = I THE LONGW’EAR YOU LOVE TO WEAR: | ENDLESS IDOLE | 2411,0.1875,0.675,lancome|paris|sa,wear|love
170160,ThirdFederal SAVINGS & LOAN Twice as nice: low rates and $495 in closing costs. 10-Year Fixed Rate Mortgage a $495 CLOSING COSTS 6-10 YEAR TERM Get our new 10-year fixed rate mortgage and pay only $49...,0.2196,0.4309,rates|495|closing,rates|loan|rate
174814,"ea Re; eo,",0.0,0.0,ea|eo,
170876,f) || B= Clarins Joh Rouge Lipstick Collection,0.0,0.0,clarins|joh|rouge,collection
170891,"BIEBER FEVER, YOU'RE PROBABLY YOU'RE NOT YOU W RE HUNGRY.",0.0,0.0,bieber|fever|probably,probably
172170,ARDENTEMENTE. va ESTE Dia NaMORADOS MANEIRA MAIS QUE VOCE PODE SER 0 QUE,0.0,0.0,que|ardentemente|va,que
172887,NOTADU ALVORU ORKUDRYKKUR Sore ®,0.0,0.0,notadu|alvoru|orkudrykkur,
171182,"RRP: S77"" $2447 monthly over 60 = oy =a) 4 Syston | Single spurt RP. ‘Ai-Conditloner $2557 mony on 8 mba MAVASESLP_ 4 i ‘Sieur $823 mov ha 4 = — & Inverter System 2 Air-Conditioner BTU RRP: $2569 ECON...",-0.0714,0.2143,rp|60|monty,60|air|mi
173949,SCRATCH AND SNIFF TO SMELL THE EXHAUST TESLA O engines | 0 emissions | 100% electric,0.0,0.0,scratch|sniff|smell,100
174379,AMERICAN Fis NC ASSOCIATION,0.0,0.0,american|fis|nc,american
172761,~ AMERICA'S No! COMEDY TEAM AMERICAS Noll BUBBLE GUM | OVER 273 STATIONS EVERY SATURDAY MORNING wspaper and magaz ine reproduction. Printed in U. S. A.,0.0,0.0,america|comedy|team,bubble|gum|america
176761,Fashion more victims than you think,0.5,0.5,fashion|victims|think,think
172222,"Time is running out for them, | not for plastic. Be a responsible tourist. Get involved today. Ei https://facebook.com/WWF-India [J https://twitter.com/WWFINDIA",0.2,0.55,https|time|running,com|india|facebook
172726,kate spade NEW YORK,0.1364,0.4545,kate|spade|new,york|new
171980,#1 Interracial Dating Site in the world,0.0,0.0,interracial|dating|site,world
176583,"A BEVERAGE YOU CAN BANK ON. Almost everything grows with a little extra water—and with a margin as healthy as Nestle® Pure Life® bottled water, this might be the easiest add-on you've got. If you woul...",0.1451,0.4,water|beverage|bank,water|add|nestlé
171788,‘THE HOT CHILI BURGER HAS ARRIVED!,0.3125,0.85,hot|chili|burger,hot|burger
171851,"Coupon Coupon 1 Expres 2728/90 Expres 1 1 1 anysize ; Size or6Pack, | 630, 1 ! ! ol s 1909 3 ~ PEPPERMINT PATTIES CollectinsCandy.com Exclusive)",0.0,0.0,coupon|expres|anysize,coupon|90|exclusive
177190,"Animal Rights Sweden, SIGN ON AGAINST ANIMAL TESTING! a8.",0.0,0.0,animal|rights|sweden,rights|sign
171424,ISTHE GRASS REALLY GREENER IF AL OF THE BLUE ARE,0.1,0.15,isthe|grass|really,blue|really|al
171529,ADVERTISEMENTS ACTUAL TACO = MOST ATTRACTIVE ANGLE,0.4333,0.5333,advertisements|actual|taco,
170972,Lay’s Potato Chips in Hungary Creating Awareness and Building Brand Image at Product Launch,0.0,0.0,lay|potato|chips,brand
173036,"A Better Bottle for Breastfed Babies. Backed by 50 years of research, Lansinoh’s Lansinoh’s Air Ventilation System NaturalWave® Nipple lets baby use the natural (AVS"") reduces intake of gas, a feeding...",0.1994,0.4536,bottle|lansinoh|breast,cause|air|baby
172201,"From: Dunn, John A Time: 3:15 pm Subject: Where do babies come from? To: John Jr. Dear Son, I know that you have reached a difficult a naturally have certain ""questions"" that you'd like to ask me. Unf...",-0.0003,0.5296,john|like|dunn,like|bad|run
176085,A ABSOLUTE ICE.,0.2,0.9,absolute|ice,ice
173917,"It takes 12 muscles to smile or 3 simple ingredients. Just le odt & a. dash of, salt:",0.15,0.2286,takes|12|muscles,takes|ingredients|le
176276,NISSAN NAVARA MORE CAPACITY FOR FUN,0.4,0.35,nissan|navara|capacity,fun|nissan
170408,THERE'S A SOLDIER IN EVERY ONE.,0.0,0.0,soldier|every|one,
170866,"your Don’t Rasp Your Throat With Harsh 4 “Reach for a er LUCKY instead” LUCKY STRIKE'S “TOASTING” wo AQ NEW YORK,NY. “It’s toaste Including the use of Ultra Violet Rays ‘Sunshine Mellows —Heat Purifie...",0.1508,0.7053,throat|lucky|rasp,wo|including|ny
170594,YUM the coun for 9004 the for Serving tho perfect meal. it with ning that ol oF ning that put the joy of food at ‘tho center of youre.,0.5667,0.4333,tho|ning|yum,meal|center|perfect
176277,"WP WA 4 Ay Kaminenr ‘ Don't test them! Your heart has limits. K TF es Dedicated to life... for life Stress stretches Heart to its limits. Statistics suggest that, as we age, we gradually lose blood pu...",0.0851,0.3353,heart|stress|cardiac,heart|age|class
173987,LONG LINE MULTL-WAY PUSH-UP COVERAGE SHAPE COMFORT at Del PUSH-UP,-0.05,0.4,long|line|coverage,line|long|way
177502,Doodling is a gate to illustration.,0.0,0.0,doodling|gate|illustration,
171430,www.autodelta.com.ec VISITANOS Y RECIBE EN MANO DE OBRA EN REPUESTOS AUTO DELTA,0.0,0.0,en|visitanos|recibe,en|www|com
170603,citibank THE CITI NEVER SLEEPS,0.0,0.0,citibank|citi|never,citibank|citi
171207,aw IT’S SUMMER. . YOWRE / THIRSTY. ) WE’VEGOT & SALES TARGETS. REFRESHING STUFF,0.5,1.0,aw|summer|yowre,sales
171276,Wear a Mustang to match x lipstick.,0.0,0.0,wear|mustang|match,wear
172039,f Beautiful teeth.,0.85,1.0,beautiful|teeth,beautiful
170125,"N (i die PEt 2, ws the diet ¢, 0 ‘Ole",0.0,0.0,die|pet|ws,
170717,WE'RE NOT AFRAID TO SAY WE'RE REAL CHICKENS ©,0.25,0.6,afraid|say|real,say|real
175094,\— Ie Ic \(,0.0,0.0,ie|ic,
172867,\ \t Os ° air. discover Me = what's more = for you! ut ees 2 4 os,0.625,0.5,os|air|discover,os|air|discover
172379,Is Golden) \ of Bliss),0.3,0.5,golden|bliss,
173043,yOuR PASSION INSTEAD 0.0831/Km_THE 2013 NISSAN JUKE,0.0,0.0,passion|instead|2013,2013|nissan
177516,REAL MEN LEAVE THEIR MARK.,0.2,0.3,real|men|leave,leave|men|real
171305,Becoming a donor is probably your ‘only chance to get inside her.,0.225,0.925,becoming|donor|probably,chance|probably|inside
173911,A TASTE THAT INSPIRES New Hairstyle 1 New Outfit 4 it”,0.1364,0.4545,new|taste|inspires,new|taste
175679,ATE QUE A MORTE NOS SEPARE,0.0,0.0,ate|que|morte,que
172303,FRESHNESS HAS A NAME,0.0,0.0,freshness|name,
176853,an elfto be asuccess at Keebler.,0.0,0.0,elfto|asuccess|keebler,
170119,"NEW LIMITED EDITION THE REGAL ‘ WARDROBE. Instantly elevate your wardrobe with this 12-piece polette, featuring an expertly coordinated assortment of eye and cheek colors. $39 ($126 value) SHOP NOW",0.0216,0.4214,wardrobe|new|limited,value|limited|shop
173990,330m! 330m! CAN,0.0,0.0,330m,
171297,"PIZZA DELIVERY, EPIC JOU",0.1,0.4,pizza|delivery|epic,pizza
172206,Say It With A !,0.0,0.0,say,say
171004,‘Fora cheese this sharp » a toothpick won't cut it. = En garde.,-0.125,0.75,fora|cheese|sharp,cut|won|en
171473,vo Tas? a 'YSICAL BULLYING ix = 2 5 uw = 2 a,0.0,0.0,vo|tas|bullying,
171210,Smash hit dy by milk. You don't have to bé a hero to feel invincible. That's why | drink milk. The protein helps build muscle and some studies suggest teens who choose it tend to be leaner. Cheers to ...,0.0,0.0,milk|smash|hit,milk|helps|feel
173069,4 a Homemede. that's just the,0.0,0.0,homemede,just
171096,"10 YEAR GUARANTEE... & Assures You Always Boating with The Bullet Tested | ALL ALUMINUM BOATS | 7 Models . . . all aluminum [| G come to cruiser. They’re marine designed for matchless perform- ance, s...",0.35,0.45,aluminum|10|year,designed|safety|beauty
170067,COLLECTION 2 35% SAVINGS,0.0,0.0,collection|35|savings,collection|savings
171778,AIR GUITAR WHEREVER YOU ARE. UNLIMITED MUSIC DOWNLOADS ALL ON ONE PHONE. Up your stage presence with the Samsung Vitality Android™ featuring Muve Music. Get unlimited access to millions of songs on yo...,0.1729,0.3386,unlimited|music|vitality,month|air|smart
171618,made to entertain.,0.0,0.0,made|entertain,
170584,"Cassi Williams Thank you for being such a blessing in our lives. Your strength of character,/) dedication toallyou /4 commit toand your kind heart make you so special... Embrace your future and never ...",0.2914,0.5393,heart|go|cassi,heart|future|stop
176666,QUIT SMOKING! it weakens you. it ruins you.,-0.15,0.2,quit|smoking|weakens,smoking
170143,"DON'T DRIVE TIRED: TA,",-0.4,0.7,drive|tired|ta,drive|don
174337,WINTER 2014 $10,0.0,0.0,winter|2014|10,2014|10
172114,WILL A T-SHIRT CURE BREAST How about a tie? A woven scarf? Will those things help find a cure? Since 100% of the net proceeds from Ford Warriors in wear and gear goes to Susan G. Komen for the Cure} t...,0.2472,0.5111,ford|cure|enter,2010|com|class
173637,yOuR PASSION INSTEAD 2013 NISSAN JUKE,0.0,0.0,passion|instead|2013,2013|nissan
173590,"There's a lot you can get in a Fiesta. A class-exclusive 4"" multifunctional LCD displays standard. A PowerShift six-speed automatic transmission?* That's the kind of engineering that makes it more res...",0.312,0.4368,fiesta|lot|get,high|fuel|technology
170527,Official sponsor of Euro 2000,0.0,0.0,official|sponsor|euro,
172501,Domestic violence and sexual assault are never the victim’s fault. It’s time speak out to stop the violence. No more excuses. No more silence. No more violence. viacommunity FOUNDATIO Impact Amplified...,-0.0542,0.4139,violence|domestic|sexual,violence|rights|foundation
173256,CRUSADING FOR A CANADA!”,0.0,0.0,crusading|canada,
170289,"NERDS TODAY, BOSSES’ = =",0.0,0.0,nerds|today|bosses,today
172664,"©2013 Jockey International, Inc. All Rights Reserved. JOCKEY and SKIMMIES are trademarks of Jockey International, Inc. “It’s time comfort gave you confidence. Jockey® Skimmies® Slipshorts smooth like ...",0.26,0.38,jockey|international|like,international|like|rights
170299,Shades of 3 Soothe your senses with green Tapal green tea relaxes your mind and calms your senses Ie symbolizes all that is natural and vital for our well being. In essence Tapal green tea is a calmin...,-0.0333,0.3111,green|tapal|shades,green|mind|healthy
170869,"©2010 Revion NEW REVLON Instantly brighten skin with a lightweight illuminating lotion for a sheer glow. Oil-free, SPF 18. ¢ Light reflecting micronized crystals illuminate skin on contact. Get glowin...",0.1195,0.5995,revion|revlon|skin,light|skin|2010
176487,"Every leaf traps CO. FOR, THE PLANEY AN",0.0,0.0,every|leaf|traps,
177833,USE BOTH HANDS FOR THE FANGUS} COMING SOON FIRST TIME IN PAKISTAN,0.25,0.3333,use|hands|fangus,use|time
172687,Natural Drinking Water,0.1,0.4,natural|drinking|water,natural|water
173619,Friday” ‘BOON TO THE WORKING MAN (or Sneaky Conspiracy 2) rue KHAKI TROUSER INDUSTRY? wissan,0.0,0.0,friday|boon|working,working|friday|man
173763,"FairPrice < Low Prices & More Asus All In One PC Model: ~ Screen: 18.5” Full HD 1080P (Non-Touch) - CPU: Intel Celeron® Processor 2955U - 2M Cache, 1.40 GHz, Dual-Core Exclusive To FairPrice Xtra FREE...",0.141,0.4839,lenovo|model|hd,model|hd|processor
171860,A Ford wears old jeans,0.1,0.2,ford|wears|old,old
172108,EVERYBODY LOVES AN ORIGINAL,0.375,0.75,everybody|loves|original,original
172226,ly i pears > IS YOUR SUBWAY® CREATION UNIQUE?,0.375,1.0,ly|pears|creation,
176485,SIGNATURE SAUCES YOU LOVE WILL f YOU'LL NEVER RUN OUT OF SAUCE AGAIN,0.5,0.6,signature|sauces|love,run|ll|love
170339,"uses only 100% pure beef! z=. fresh daily, never frozen, (NO ADDITIVES) cooked to order and never pre-wrapped. ‘We custom build each sandwich the way you want it, with what you : on it. Quality Recipe...",0.1224,0.4306,never|monroe|rd,st|ave|beef
170047,IT’S FRUIT IN DISGUISE ne added sugar of preservatives. glass of sust the way to get one of your five 2 day.,0.0,0.0,fruit|disguise|ne,sugar|ne|way
171369,"CHVVYSE T? REFRESH A ERCA This 4th of July, choose the cola that's refreshing communities all across America. Why? Because every time you choose Pepsi, you support the Pepsi Refresh Project. We've alr...",0.5,1.0,refresh|choose|pepsi,choose|com|cola
172118,AIRFRANCE 4% FRANCE IS IN THE AIR HAPPY LEGS!,1.0,1.0,airfrance|france|air,air|happy
172534,Buy a 2 or 3-Entree Plate and get a single serving entree item FREE when you present this coupon.,0.1095,0.3381,buy|plate|get,single|coupon|buy
176917,NOT ALL SPECIES ENJOY SPOTS CREME ESSENCE SKIN LIGHTENING CREAM WHITE ESSENCE AD®,0.2,0.25,essence|species|enjoy,white|skin|enjoy
174868,Adjustable orientation Works perfectly in portrait or landscape for a panoramic taste experience.,1.0,1.0,adjustable|orientation|works,experience|taste
177953,"""We'd rather go naked than wear fur."" not like",0.0,0.4,rather|go|naked,wear|like
